ip,domain,caa_result
210.128.97.92,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
212.187.164.154,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
91.230.211.67,dns.east.comss.one,0 issue "comodoca.com"
216.98.99.105,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
85.145.222.167,dns.google,0 issue "pki.goog";128 issue "pki.goog"
54.37.137.4,spacedns.org,0 issuewild "letsencrypt.org"
210.128.97.87,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
143.244.128.32,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
45.14.106.6,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
45.14.106.6,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
182.92.205.234,alidns.com,0 issue "globalsign.com"
210.130.1.12,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.138.123.106,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.128.97.74,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.138.123.78,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
40.83.112.187,alidns.com,0 issue "globalsign.com"
210.130.0.50,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
157.119.101.188,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.128.97.77,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
