host,port,server_name,http_method,http_path,http_code,http_headers,error_data
1.0.0.3,443,family.cloudflare-dns.com,HEAD,/,302,"Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
101.198.192.33,443,doh.360.cn,HEAD,/,302,,
1.0.0.2,443,security.cloudflare-dns.com,HEAD,/,302,"Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
1.0.0.1,443,cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
101.33.125.235,443,i.passcloud.xyz,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
101.32.73.53,443,dns.outline.asia,HEAD,/,302,,
101.32.27.77,443,dns.heqir.xyz,HEAD,/,302,,
101.32.214.41,443,dns.sincere.host,HEAD,/,302,,
101.101.101.101,443,twnic-public-dns.twnic.tw,HEAD,/,200,,
101.101.101.101,443,dns.twnic.tw,HEAD,/,415,,
101.33.235.10,443,dns.18bit.cn,HEAD,/,307,,
101.198.191.131,443,doh.360.cn,HEAD,/,302,,
101.198.191.132,443,doh.360.cn,HEAD,/,302,,
101.198.191.135,443,doh.360.cn,HEAD,/,302,,
101.198.191.133,443,doh.360.cn,HEAD,/,302,,
101.198.191.4,443,doh.360.cn,HEAD,/,302,,
101.226.4.6,443,doh.360.cn,HEAD,/,302,,
101.226.4.6,443,pub1.sdns.360.cn,HEAD,/,302,,
101.199.254.118,443,doh.360.cn,HEAD,/,302,,
101.34.204.157,443,i.233py.com,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
101.200.190.126,443,alidns.com,HEAD,/,404,,
101.198.191.247,443,doh.360.cn,HEAD,/,302,,
101.35.161.25,443,i.233py.com,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
101.199.113.208,443,doh.360.cn,HEAD,/,302,,
103.102.166.14,443,doh5001.wikimedia.org,HEAD,/,200,Strict-Transport-Security: max-age=106384710; includeSubDomains; preload,
101.43.225.245,443,dns.dnse.ltd,HEAD,/,302,,
103.102.166.14,443,wikimedia-dns.org,HEAD,/,200,Strict-Transport-Security: max-age=106384710; includeSubDomains; preload,
103.103.131.105,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.124.95.99,443,dns.adbvn.com,HEAD,/,302,,
103.102.166.5,443,wikimedia-dns.org,HEAD,/,200,Strict-Transport-Security: max-age=106384710; includeSubDomains; preload,
103.102.166.5,443,doh5002.wikimedia.org,HEAD,/,200,Strict-Transport-Security: max-age=106384710; includeSubDomains; preload,
1.0.0.1,443,one.one.one.one,HEAD,/,200,"Strict-Transport-Security: max-age=31536000
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.161.172.14,443,dns.bahien.com,HEAD,/,302,,
103.137.62.19,443,dns.qvq.network,HEAD,/,200,,
103.105.98.141,443,www.doh.terasys.co.id,HEAD,/,302,,
103.105.98.141,443,doh.terasys.co.id,HEAD,/,302,,
103.127.124.46,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.161.172.14,443,rdns.tino.org,HEAD,/,302,,
119.3.218.92,443,www.dnsenc.com,HEAD,/,200,Strict-Transport-Security: max-age=63072000,
103.121.210.210,443,dns.sb,HEAD,/,200,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.121.210.210,443,jp-nrt.doh.sb,HEAD,/,301,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.121.210.210,443,doh.sb,HEAD,/,301,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.247.36.150,443,doh.dnsfilter.com,HEAD,/,404,,
103.121.210.211,443,dns.sb,HEAD,/,200,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.121.210.211,443,doh.sb,HEAD,/,301,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.121.210.212,443,doh.sb,HEAD,/,301,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.121.210.212,443,dns.sb,HEAD,/,200,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.247.37.150,443,doh.dnsfilter.com,HEAD,/,404,,
103.6.84.23,443,dns2-hkg.securd.com,HEAD,/,404,,
103.6.84.23,443,dns.securd.com,HEAD,/,404,,
103.179.44.88,443,dns.x11.pw,HEAD,/,302,,
103.237.147.61,443,dns.nguyendn.com,HEAD,/,302,,
103.170.232.254,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.196.38.200,443,doh.hdns.io,HEAD,/,404,,
103.179.45.33,443,jpdns.hker.me,HEAD,/,302,,
104.16.132.229,443,dns.cloudflare.com,HEAD,/,301,"Strict-Transport-Security: max-age=15780000; includeSubDomains
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
104.16.133.229,443,dns.cloudflare.com,HEAD,/,301,"Strict-Transport-Security: max-age=15780000; includeSubDomains
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.172.17.225,443,dns1.mactel.net.id,HEAD,/,302,,
