ip,domain,caa_result
62.133.35.15,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
177.189.82.31,dns.google,0 issue "pki.goog";128 issue "pki.goog"
176.51.2.56,dns.google,0 issue "pki.goog";128 issue "pki.goog"
201.27.114.219,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.13.241.126,dns.google,0 issue "pki.goog";128 issue "pki.goog"
78.46.238.113,dns.masgalor.de,128 issue "letsencrypt.org"
179.99.115.137,dns.google,0 issue "pki.goog";128 issue "pki.goog"
47.254.217.111,alidns.com,0 issue "globalsign.com"
187.11.58.245,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.31.134.161,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.138.123.78,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
77.68.116.22,phdns5.lonet.org,0 issue "letsencrypt.org"
89.169.66.169,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.57.199.120,dns.google,0 issue "pki.goog";128 issue "pki.goog"
62.115.42.147,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
177.139.14.19,dns.google,0 issue "pki.goog";128 issue "pki.goog"
152.250.90.79,dns.google,0 issue "pki.goog";128 issue "pki.goog"
94.36.233.135,dns.google,0 issue "pki.goog";128 issue "pki.goog"
45.172.210.147,dns.google,0 issue "pki.goog";128 issue "pki.goog"
171.97.12.136,dns.google,0 issue "pki.goog";128 issue "pki.goog"
92.223.109.31,dns.east.comss.one,0 issue "comodoca.com"
200.153.253.3,dns.google,0 issue "pki.goog";128 issue "pki.goog"
213.32.246.155,dns.google,0 issue "pki.goog";128 issue "pki.goog"
14.231.56.157,dns.google,0 issue "pki.goog";128 issue "pki.goog"
5.137.42.243,dns.google,0 issue "pki.goog";128 issue "pki.goog"
119.3.218.92,dnsenc.com,0 iodef "mailto:hi@carrnot.com";0 issue "digicert.com";0 issuewild ";"
171.97.123.249,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.102.33.22,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.95.90.17,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.177.13.154,dns.google,0 issue "pki.goog";128 issue "pki.goog"
176.9.93.198,dnsforge.de,0 issue "letsencrypt.org"
45.125.0.27,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.138.123.79,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
147.78.178.181,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
189.78.13.166,dns.google,0 issue "pki.goog";128 issue "pki.goog"
91.198.174.7,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
177.45.252.27,dns.google,0 issue "pki.goog";128 issue "pki.goog"
124.121.183.166,dns.google,0 issue "pki.goog";128 issue "pki.goog"
173.212.225.6,myprivatedns.uk,0 issue "digicert.com; cansignhttpexchanges=yes";0 issuewild "digicert.com; cansignhttpexchanges=yes";0 issue "comodoca.com";0 issue "letsencrypt.org";0 issuewild "comodoca.com";0 issuewild "letsencrypt.org"
103.242.45.39,dns.google,0 issue "pki.goog";128 issue "pki.goog"
147.78.178.171,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
191.13.76.193,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.46.7.106,dns.google,0 issue "pki.goog";128 issue "pki.goog"
98.15.33.110,dns.google,0 issue "pki.goog";128 issue "pki.goog"
85.146.139.97,dns.google,0 issue "pki.goog";128 issue "pki.goog"
82.118.235.12,dns-bg.su4ka.icu,0 iodef "mailto:admin@su4ka.icu";0 issue "letsencrypt.org"
201.87.83.77,dns.google,0 issue "pki.goog";128 issue "pki.goog"
205.185.117.191,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
185.150.117.6,dns.comss.one,0 issue "comodoca.com"
201.13.161.134,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.222,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
194.169.181.34,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
200.158.167.209,dns.google,0 issue "pki.goog";128 issue "pki.goog"
8.8.4.4,dns.google,0 issue "pki.goog";128 issue "pki.goog"
217.160.191.192,dot.dns.lonet.org,0 issue "letsencrypt.org"
179.162.63.48,dns.google,0 issue "pki.goog";128 issue "pki.goog"
89.234.186.112,dns.neutopia.org,0 issue "letsencrypt.org"
103.2.57.5,dns.iij.jp,0 issuewild "globalsign.com";0 issue "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
116.203.180.30,dns.gutwe.in,128 issue "sectigo.com"
14.169.240.161,dns.google,0 issue "pki.goog";128 issue "pki.goog"
103.2.57.6,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
189.110.237.102,dns.google,0 issue "pki.goog";128 issue "pki.goog"
201.42.33.183,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.71.138.138,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
191.17.170.146,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.91,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
159.69.14.103,dns.masgalor.de,128 issue "letsencrypt.org"
78.142.193.54,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
103.57.166.66,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.15.58.11,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
177.189.81.178,dns.google,0 issue "pki.goog";128 issue "pki.goog"
92.127.239.10,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.34.236.148,dns.google,0 issue "pki.goog";128 issue "pki.goog"
89.234.186.112,dnstls.neutopia.org,0 issue "letsencrypt.org"
89.208.244.244,dns.google,0 issue "pki.goog";128 issue "pki.goog"
74.208.85.60,dot.dns.lonet.org,0 issue "letsencrypt.org"
198.35.26.6,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
194.169.181.36,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
194.169.181.37,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
177.189.82.85,dns.google,0 issue "pki.goog";128 issue "pki.goog"
201.92.234.192,dns.google,0 issue "pki.goog";128 issue "pki.goog"
83.137.253.241,dns.google,0 issue "pki.goog";128 issue "pki.goog"
176.9.1.117,www.dnsforge.de,0 issue "letsencrypt.org"
177.102.132.141,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.78.248.114,dns.google,0 issue "pki.goog";128 issue "pki.goog"
81.90.180.173,dns.comss.one,0 issue "comodoca.com"
62.115.182.223,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
187.74.197.176,dns.google,0 issue "pki.goog";128 issue "pki.goog"
200.153.156.58,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.10.173.84,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.46.192.235,dns.google,0 issue "pki.goog";128 issue "pki.goog"
78.142.193.53,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
23.96.122.170,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
177.95.90.187,dns.google,0 issue "pki.goog";128 issue "pki.goog"
45.125.0.26,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
179.183.65.71,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.10.172.111,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.189.81.44,dns.google,0 issue "pki.goog";128 issue "pki.goog"
203.180.146.29,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
95.191.221.96,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.46.215.90,dns.google,0 issue "pki.goog";128 issue "pki.goog"
198.54.117.11,safeservedns.com,0 issue "sectigo.com"
208.80.154.70,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
152.250.165.99,dns.google,0 issue "pki.goog";128 issue "pki.goog"
152.250.105.195,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.111.149.140,dns.google,0 issue "pki.goog";128 issue "pki.goog"
153.127.29.135,dns.keiu.net,0 issue "sectigo.com";0 issue "digicert.com; cansignhttpexchanges=yes";0 issuewild "digicert.com; cansignhttpexchanges=yes";0 issue "comodoca.com";0 issue "letsencrypt.org";0 issuewild "comodoca.com";0 issuewild "letsencrypt.org"
85.101.3.51,dns.google,0 issue "pki.goog";128 issue "pki.goog"
176.51.21.66,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.18.216.143,dns.google,0 issue "pki.goog";128 issue "pki.goog"
82.68.2.6,dotjustin.com,0 issue "digicert.com; cansignhttpexchanges=yes";0 issuewild "digicert.com; cansignhttpexchanges=yes";0 issue "comodoca.com";0 issue "letsencrypt.org";0 issuewild "comodoca.com";0 issuewild "letsencrypt.org"
216.239.36.36,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.113.142.90,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.183.214.169,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.31.48.170,dns.google,0 issue "pki.goog";128 issue "pki.goog"
35.227.141.193,us-dns.skpracta.info,0 issue "letsencrypt.org";0 iodef "skpracta.secure@gmail.com"
177.139.13.109,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.98.106.219,dns.google,0 issue "pki.goog";128 issue "pki.goog"
93.115.24.204,dns.comss.one,0 issue "comodoca.com"
195.154.253.190,dns.fl0w.fr,0 issue "letsencrypt.org"
189.18.216.106,dns.google,0 issue "pki.goog";128 issue "pki.goog"
195.154.105.47,dnsovertls.net,0 issue "letsencrypt.org"
179.111.61.172,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.11.61.168,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.92,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
47.254.217.112,alidns.com,0 issue "globalsign.com"
185.37.252.146,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
